OnePlus 2,Release Date,Height,Width,Depth,Weight,Camera Front (MP),Camera Back (MP),Battery,Motorola X PURE,Samsung Galaxy S6,Announced Date,Samsung Galaxy Note 5,Apple iPhone 6s
"(0,1)","(1,1)","(2,2)","(2,4)","(2,6)","(3,1)","(4,1)","(4,2)","(5,1)",,,,,
,"(8,1)","(9,2)","(9,4)","(9,6)","(10,1)","(11,1)","(11,2)","(12,1)","(7,1)",,,,
,,"(16,4)","(16,2)","(16,6)","(17,1)","(18,1)","(18,2)","(19,1)",,"(14,1)","(15,1)",,
,,"(23,4)","(23,2)","(23,6)","(24,1)","(25,1)","(25,2)","(26,1)",,,"(22,1)","(21,1)",
,"(29,1)","(30,2)","(30,4)","(30,6)","(31,1)","(32,1)","(32,2)","(33,1)",,,,,"(28,1)"
