OnePlus 2,Release Date,Height,Width,Depth,Weight,Camera Front (MP),Camera Back (MP),Battery,Motorola X PURE,Samsung Galaxy S6,Announced Date,Samsung Galaxy Note 5,Apple iPhone 6s
$330,Aug 2015,151.8 mm,74.9 mm,9.85 mm,175 g,5,13,3300 mAh LiPO,,,,,
,Sept 2015,76.2 mm,153.9 mm,6.1 to 11.06 mm,179 g,5,21,3000 mAh,$400,,,,
,,70.5 mm,143.4 mm,6.8 mm,138 g,16,5,2550 mAh,,$580,2015 Apr,,
,,153.2 mm,76.1 mm,7.6 mm,171 g,16,5,3000 mAh LiPO,,,2015 Aug,$720,
,Sept 2015,138.3 mm,67.1 mm,7.1 mm,143 g,5,12,1715 mAh LiPO,,,,,$650
