"(0,0)","(1,0)",Height,Width,Depth,"(3,0)",Camera Front (MP),Camera Back (MP),"(5,0)","(7,0)","(8,0)","(10,0)","(12,0)","(14,0)","(15,0)","(17,0)","(19,0)","(21,0)","(22,0)","(24,0)","(26,0)","(28,0)","(29,0)","(31,0)","(33,0)"
$330,Aug 2015,151.8 mm,74.9 mm,9.85 mm,175 g,5,13,3300 mAh LiPO,,,,,,,,,,,,,,,,
,,76.2 mm,153.9 mm,6.1 to 11.06 mm,,5,21,,$400,Sept 2015,179 g,3000 mAh,,,,,,,,,,,,
,,70.5 mm,143.4 mm,6.8 mm,,16,5,,,,,,$580,2015 Apr,138 g,2550 mAh,,,,,,,,
,,153.2 mm,76.1 mm,7.6 mm,,16,5,,,,,,,,,,$720,2015 Aug,171 g,3000 mAh LiPO,,,,
,,138.3 mm,67.1 mm,7.1 mm,,5,12,,,,,,,,,,,,,,$650,Sept 2015,143 g,1715 mAh LiPO
